Marital status,Nacionality,Gender,Age at enrollment,Displaced,International,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Educational special needs,Debtor,Tuition fees up to date,Scholarship holder,Unemployment rate,Inflation rate,GDP,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Admission grade,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations)
1,1,0,29,0,0,37,37,9,9,0,0,1,0,16.2,0.3,-0.92,39,1,9991,0,1,133.1,109.7,0,5,0,0,0.0,0
1,1,0,18,1,0,19,19,9,9,0,0,1,0,11.1,0.6,2.02,17,2,9238,1,1,130.0,127.6,0,6,6,6,11.666666666666666,0
1,1,0,22,1,0,37,19,7,7,0,0,1,1,11.1,0.6,2.02,17,6,9500,1,1,132.0,132.4,0,7,8,6,13.516666666666666,0
1,1,0,21,0,0,1,19,9,9,0,0,1,1,12.4,0.5,1.79,44,1,8014,0,39,130.0,133.4,3,6,6,6,11.5,0
1,1,0,19,0,0,37,38,9,9,0,0,1,1,12.7,3.7,-1.7,1,1,9238,1,1,139.0,126.1,0,6,7,5,12.333333333333334,0
1,1,0,24,0,0,19,38,9,7,0,0,1,1,12.4,0.5,1.79,39,1,9254,1,1,130.0,113.5,0,6,6,6,13.666666666666666,0
1,1,0,19,0,0,37,37,90,90,0,0,1,0,7.6,2.6,0.32,1,3,9130,1,1,167.0,159.3,0,5,7,5,14.714285714285714,0
1,1,0,27,0,0,38,38,9,9,0,0,1,0,9.4,-0.8,-3.12,39,1,9991,0,1,130.0,120.0,0,5,12,5,10.6,0
1,1,0,18,1,0,1,19,5,5,0,0,1,0,15.5,2.8,-4.06,1,1,9500,1,1,130.0,129.1,0,7,9,7,13.044444444444444,0
2,1,0,39,0,0,1,3,4,3,0,0,1,0,12.4,0.5,1.79,7,1,9254,1,3,130.0,130.0,0,6,10,0,0.0,0
1,1,0,27,1,0,3,3,2,2,0,0,1,0,12.4,0.5,1.79,39,1,9130,1,40,129.0,155.3,0,6,9,5,13.0,0
1,1,0,18,1,0,38,38,7,10,0,0,1,0,9.4,-0.8,-3.12,17,1,9500,1,1,141.0,139.8,0,8,8,8,14.935,0
1,1,0,18,0,0,19,19,9,9,0,0,1,0,16.2,0.3,-0.92,1,2,9500,1,1,125.0,114.9,0,7,8,6,13.133333333333333,0
1,1,0,21,0,0,19,1,9,9,0,0,1,1,13.9,-0.3,0.79,44,1,9238,1,39,130.0,131.9,3,6,7,6,12.0,0
4,1,1,29,1,0,1,1,5,5,0,0,1,0,13.9,-0.3,0.79,42,1,9500,1,19,133.1,126.0,2,7,10,5,11.9,0
1,1,1,19,1,0,19,19,5,3,0,0,1,1,10.8,1.4,1.74,1,3,171,1,1,139.0,128.2,0,0,0,0,0.0,0
1,1,1,23,1,0,19,37,9,9,0,0,1,0,8.9,1.4,3.51,44,1,9003,1,39,130.0,130.0,0,6,8,6,12.571428571428571,0
1,1,1,19,0,0,1,38,7,7,0,1,1,0,16.2,0.3,-0.92,1,3,9147,1,1,125.0,120.1,0,5,8,5,11.2,0
1,1,1,24,0,0,37,19,8,4,0,0,1,0,13.9,-0.3,0.79,17,1,9500,1,1,150.0,130.8,0,7,8,7,11.975,0
1,1,1,19,1,0,19,19,5,10,0,0,1,0,15.5,2.8,-4.06,1,1,171,1,1,141.0,135.8,0,0,0,0,0.0,0
1,1,1,18,1,0,38,37,5,7,0,0,1,0,12.4,0.5,1.79,17,4,9254,1,1,118.0,111.7,0,6,12,3,11.666666666666666,0
1,1,1,18,1,0,38,38,9,9,0,0,1,0,10.8,1.4,1.74,1,2,9773,1,1,142.0,132.9,0,6,8,6,12.333333333333334,0
1,1,1,18,1,0,19,19,4,7,0,1,1,0,10.8,1.4,1.74,17,3,9147,1,1,120.0,115.5,0,5,8,3,10.333333333333334,0
1,1,1,21,1,0,19,37,7,7,0,0,1,1,9.4,-0.8,-3.12,18,4,9254,1,1,106.0,106.0,0,6,8,4,10.5,0
1,1,1,19,1,0,1,19,9,8,0,1,1,1,8.9,1.4,3.51,17,4,9773,1,1,121.0,120.3,0,6,6,6,13.666666666666666,0
1,1,1,22,0,0,38,37,9,9,0,0,1,1,16.2,0.3,-0.92,17,4,9500,1,1,150.0,130.8,0,7,7,7,14.842857142857142,0
2,1,1,33,0,0,37,37,9,6,0,0,1,0,10.8,1.4,1.74,39,1,8014,0,1,120.0,117.0,0,6,8,6,12.0,0
1,1,1,20,1,0,19,19,9,9,0,0,1,0,10.8,1.4,1.74,1,6,9853,1,1,114.0,110.2,0,6,8,5,12.2,0
1,1,1,35,1,0,3,3,2,2,0,0,1,0,10.8,1.4,1.74,39,1,9991,0,2,140.0,155.7,0,1,1,0,0.0,1
1,1,1,24,0,0,3,3,4,2,0,1,1,0,12.4,0.5,1.79,39,1,9003,1,4,160.0,180.4,6,12,17,6,12.166666666666666,0
2,1,0,33,1,0,37,37,9,6,0,0,1,0,9.4,-0.8,-3.12,39,1,8014,0,1,130.0,110.0,0,6,7,6,11.0,0
1,1,0,22,1,0,37,38,9,7,0,0,1,1,10.8,1.4,1.74,42,1,9500,1,1,160.0,161.0,0,8,8,7,13.08,0
1,1,0,25,0,0,1,19,4,5,0,0,1,1,9.4,-0.8,-3.12,39,1,9670,1,1,120.0,100.0,0,5,7,4,10.5,0
1,1,1,20,1,0,19,38,4,0,0,0,1,0,7.6,2.6,0.32,17,1,9070,1,1,124.0,117.6,0,6,9,6,10.666666666666666,1
1,1,1,24,0,0,1,1,4,10,0,0,1,0,13.9,-0.3,0.79,39,1,9500,1,1,133.1,100.8,0,7,18,0,0.0,0
1,41,0,21,1,1,19,1,9,9,0,0,0,0,8.9,1.4,3.51,17,2,9773,1,1,133.1,105.0,0,6,6,6,14.0,0
1,41,0,26,0,1,1,1,4,4,0,0,1,0,8.9,1.4,3.51,15,1,9130,1,1,133.1,100.0,0,6,7,2,12.0,1
2,1,0,39,0,0,37,34,0,0,0,0,1,0,7.6,2.6,0.32,39,1,9853,1,10,133.1,115.5,0,6,12,3,12.666666666666666,0
2,1,0,44,0,0,37,19,9,9,0,0,1,0,12.7,3.7,-1.7,39,1,8014,0,1,133.1,114.0,2,8,11,8,11.875,0
1,1,0,18,1,0,37,1,5,5,0,0,1,0,8.9,1.4,3.51,1,5,9773,1,1,135.0,124.9,0,6,6,6,13.666666666666666,0
1,1,0,18,1,0,37,37,7,7,0,0,1,1,12.4,0.5,1.79,1,5,9500,1,1,132.0,120.3,0,7,7,7,13.75,0
1,1,0,19,1,0,3,3,2,2,0,1,0,0,13.9,-0.3,0.79,1,4,9500,1,1,115.0,111.5,0,7,10,4,11.96,0
1,1,0,21,0,0,38,38,9,9,0,0,1,0,8.9,1.4,3.51,53,1,9085,1,42,130.0,128.8,7,10,12,8,12.875,0
1,1,0,20,1,0,1,1,9,10,0,0,1,0,16.2,0.3,-0.92,1,4,171,1,1,133.1,110.0,0,0,0,0,0.0,0
2,1,0,36,1,0,37,37,6,5,0,0,1,0,9.4,-0.8,-3.12,39,1,8014,0,1,130.0,113.5,0,6,0,0,0.0,0
4,1,0,43,0,0,37,37,9,6,0,0,1,0,15.5,2.8,-4.06,39,1,9003,1,12,133.1,160.0,13,18,19,18,14.63157894736842,0
1,1,0,19,1,0,19,19,9,7,0,0,1,0,11.1,0.6,2.02,18,1,9853,1,1,123.0,117.4,0,6,0,0,0.0,0
1,1,0,20,0,0,3,1,2,8,0,1,1,0,11.1,0.6,2.02,51,1,9070,1,1,130.0,122.2,4,10,12,10,13.0,0
1,1,0,19,1,0,37,38,4,7,0,0,1,0,16.2,0.3,-0.92,1,2,9238,1,1,122.0,118.2,0,6,0,0,0.0,0
1,1,0,20,1,0,1,1,4,4,0,0,1,0,15.5,2.8,-4.06,1,1,9085,1,1,113.0,106.7,0,6,15,4,14.2,0
1,1,0,20,1,0,3,4,4,3,0,0,1,0,12.4,0.5,1.79,1,5,9500,1,1,111.0,108.2,2,7,9,6,13.266666666666666,0
1,1,0,18,1,0,37,37,6,7,0,0,1,0,13.9,-0.3,0.79,1,1,9238,1,1,142.0,136.1,0,6,8,6,13.857142857142858,0
1,1,0,19,1,0,19,19,9,9,0,0,1,0,10.8,1.4,1.74,1,1,9085,1,1,131.0,139.8,0,5,6,5,13.4,0
1,1,0,18,1,0,1,38,4,7,0,0,1,0,10.8,1.4,1.74,1,3,9773,1,1,158.0,157.0,0,6,6,6,12.666666666666666,0
1,1,0,18,1,0,37,37,9,9,0,0,1,0,7.6,2.6,0.32,17,2,9500,1,1,122.0,131.0,0,7,7,6,12.516666666666666,1
1,1,0,18,0,0,37,38,9,7,0,0,1,0,9.4,-0.8,-3.12,1,2,9085,1,1,140.0,137.0,0,5,12,5,13.142857142857142,2
1,1,0,18,0,0,2,19,4,5,0,0,1,0,11.1,0.6,2.02,1,1,9147,1,1,127.0,121.8,0,5,5,5,12.6,0
1,1,0,21,1,0,1,1,4,5,0,0,1,0,9.4,-0.8,-3.12,17,1,9254,1,1,133.1,131.0,0,6,12,3,11.0,0
1,1,0,19,1,0,19,19,9,7,0,0,1,0,16.2,0.3,-0.92,1,2,9147,1,1,120.0,118.6,0,5,8,5,10.8,0
1,1,0,19,0,0,3,19,2,9,0,0,1,0,10.8,1.4,1.74,1,1,171,1,1,137.0,122.3,0,0,0,0,0.0,0
1,1,0,19,0,0,38,38,9,9,0,0,1,1,9.4,-0.8,-3.12,1,1,9670,1,1,131.0,127.9,0,5,5,5,12.8,0
1,1,0,19,1,0,19,38,4,7,0,0,1,0,15.5,2.8,-4.06,1,1,9085,1,1,130.0,121.3,0,6,15,6,14.166666666666666,0
1,1,0,19,1,0,1,1,4,5,0,0,1,0,13.9,-0.3,0.79,17,6,9556,1,1,122.0,117.1,0,7,12,5,12.1,0
1,1,0,20,1,0,37,37,9,9,0,0,1,0,12.4,0.5,1.79,44,1,9085,1,39,160.0,160.0,1,6,7,6,14.166666666666666,0
1,1,0,18,1,0,1,39,5,3,0,0,1,0,12.4,0.5,1.79,17,3,9238,1,1,131.0,122.6,0,6,7,6,13.0,0
1,1,0,19,1,0,1,37,8,9,0,0,1,0,12.4,0.5,1.79,17,6,9500,1,1,132.0,128.0,0,7,7,7,13.467142857142855,0
1,1,0,18,1,0,19,19,5,8,0,0,1,1,13.9,-0.3,0.79,1,3,9500,1,1,138.0,124.9,0,7,9,7,13.2375,0
1,1,0,18,1,0,37,37,9,9,0,0,1,0,7.6,2.6,0.32,17,2,9070,1,1,130.0,123.7,0,6,6,6,12.333333333333334,0
1,1,0,19,1,0,1,19,4,8,0,0,1,0,8.9,1.4,3.51,1,4,9147,1,1,126.0,120.1,0,5,7,5,12.4,0
1,1,0,19,1,0,1,19,3,3,0,0,1,0,13.9,-0.3,0.79,17,6,9500,1,1,148.0,131.7,0,7,8,5,14.0,0
1,1,0,20,0,0,38,37,9,7,0,0,1,0,7.6,2.6,0.32,43,1,9238,1,1,130.0,133.2,5,9,15,9,11.666666666666666,0
1,1,0,19,0,0,1,38,3,9,0,1,0,1,12.4,0.5,1.79,1,1,9670,1,1,117.0,109.3,0,6,7,5,12.0,0
1,1,0,20,1,0,19,19,5,5,0,0,1,0,7.6,2.6,0.32,17,1,9670,1,1,120.0,113.0,0,5,7,4,12.2,0
1,1,0,18,0,0,1,1,141,175,0,1,1,1,8.9,1.4,3.51,1,1,9773,1,1,153.0,157.9,0,6,6,6,14.833333333333334,0
1,1,0,18,0,0,19,1,4,8,0,0,1,0,13.9,-0.3,0.79,18,1,9500,1,1,178.0,174.7,0,7,8,7,17.125,0
1,1,0,19,1,0,37,37,9,9,0,0,1,0,7.6,2.6,0.32,1,5,9500,1,1,129.0,128.8,0,7,7,6,12.666666666666666,0
1,1,0,19,1,0,19,1,4,4,0,0,1,1,12.4,0.5,1.79,1,6,9773,1,1,116.0,110.1,0,6,8,6,12.666666666666666,0
1,1,0,19,1,0,1,12,9,10,0,0,1,1,12.4,0.5,1.79,1,3,9238,1,1,135.0,121.0,0,6,7,6,11.333333333333334,0
1,1,0,19,1,0,19,19,9,7,0,0,1,1,15.5,2.8,-4.06,1,3,9500,1,1,141.0,131.7,0,7,10,7,13.605,0
1,1,0,19,1,0,37,38,5,6,0,0,1,1,9.4,-0.8,-3.12,17,5,9853,1,1,132.0,119.1,0,6,10,5,12.0,0
1,1,0,19,1,0,12,19,9,9,0,0,1,0,7.6,2.6,0.32,1,4,9254,1,1,132.0,124.7,0,5,10,0,0.0,0
1,1,0,20,1,0,1,37,9,10,0,0,1,0,7.6,2.6,0.32,17,1,9254,1,1,113.0,117.2,0,6,8,5,11.2,0
1,1,0,18,0,0,3,19,2,10,0,0,1,0,13.9,-0.3,0.79,1,1,9147,1,1,134.0,128.8,0,5,10,5,13.375,0
1,1,0,20,0,0,1,19,9,9,0,0,1,1,11.1,0.6,2.02,1,1,9500,1,1,136.0,131.5,0,7,8,6,13.863333333333337,0
1,1,0,19,0,0,1,38,4,7,0,0,1,0,7.6,2.6,0.32,1,1,9085,1,1,129.0,123.4,0,5,6,5,12.4,0
1,1,0,18,1,0,37,37,9,9,0,0,1,0,7.6,2.6,0.32,1,1,9853,1,1,137.0,132.8,0,6,7,6,13.333333333333334,0
1,1,0,21,1,0,3,37,2,5,0,0,1,0,9.4,-0.8,-3.12,43,1,9853,1,1,115.0,108.7,0,6,10,3,12.666666666666666,0
1,1,0,19,0,0,38,37,6,6,0,0,1,0,7.6,2.6,0.32,1,1,9853,1,1,129.0,138.1,0,6,8,6,12.0,0
1,1,0,18,0,0,38,38,9,9,0,0,1,1,12.4,0.5,1.79,1,1,9147,1,1,131.0,126.5,0,5,5,5,10.6,0
1,1,0,18,1,0,1,37,7,9,0,0,1,1,12.7,3.7,-1.7,17,2,9238,1,1,133.0,127.4,0,6,8,6,12.25,0
1,1,0,20,1,0,19,1,9,10,0,0,1,0,9.4,-0.8,-3.12,1,3,9238,1,1,125.0,123.6,0,6,10,4,11.0,0
1,1,0,24,0,0,1,19,6,8,0,0,1,1,11.1,0.6,2.02,39,1,8014,0,1,120.0,122.0,0,6,11,5,11.0,0
1,1,0,19,0,0,19,1,4,1,0,0,1,0,10.8,1.4,1.74,1,1,9670,1,1,128.0,118.2,0,6,6,6,13.166666666666666,0
1,1,0,18,1,0,19,37,9,7,0,0,1,1,15.5,2.8,-4.06,1,1,9500,1,1,127.0,123.9,0,7,9,7,12.855555555555554,0
1,1,0,18,1,0,19,19,9,9,0,0,1,0,15.5,2.8,-4.06,1,2,9500,1,1,134.0,125.8,0,7,8,7,14.91875,0
1,1,0,21,1,0,12,12,4,4,0,0,1,0,10.8,1.4,1.74,17,5,9853,1,1,132.0,123.3,0,6,13,4,11.5,0
1,1,0,19,0,0,1,19,5,4,0,0,1,0,7.6,2.6,0.32,17,2,9670,1,1,124.0,124.4,0,5,5,5,14.2,0
1,1,0,19,0,0,19,37,7,7,0,0,1,1,15.5,2.8,-4.06,17,1,9773,1,1,133.1,126.0,0,6,6,6,12.5,0
1,1,0,19,0,0,19,19,7,8,0,0,1,0,13.9,-0.3,0.79,17,3,9238,1,1,125.0,121.5,0,6,10,5,11.666666666666666,0
1,1,0,29,0,0,2,2,1,1,0,0,1,0,12.7,3.7,-1.7,39,1,9500,1,3,130.0,130.0,1,8,8,7,14.257142857142856,0
1,1,0,21,1,0,19,19,4,8,0,0,1,0,16.2,0.3,-0.92,43,1,9238,1,1,125.0,117.0,0,6,13,3,12.0,0
1,1,0,20,0,0,37,37,3,10,0,0,1,0,15.5,2.8,-4.06,17,2,9556,1,1,133.1,108.0,0,7,8,7,12.457142857142856,0
1,1,0,19,1,0,2,38,4,5,0,0,1,0,7.6,2.6,0.32,17,1,9500,1,1,131.0,132.3,0,7,7,6,11.683333333333332,0
1,1,0,26,0,0,19,2,4,6,0,0,1,0,9.4,-0.8,-3.12,42,1,8014,0,1,150.0,148.0,0,6,10,3,11.666666666666666,0
1,1,0,20,1,0,37,37,9,8,0,1,0,0,11.1,0.6,2.02,17,2,9254,1,1,125.0,122.6,0,6,8,4,11.75,0
1,1,0,27,0,0,37,19,9,5,0,0,1,0,7.6,2.6,0.32,39,1,9853,1,1,130.0,102.5,0,6,9,5,13.2,0
1,1,0,20,1,0,34,34,90,90,0,0,1,0,7.6,2.6,0.32,1,2,9500,1,1,123.0,113.3,0,7,8,4,11.95,0
1,1,0,18,1,0,37,19,9,5,0,0,1,0,9.4,-0.8,-3.12,1,5,9853,1,1,141.0,133.0,0,6,8,5,12.4,0
1,1,0,33,0,0,1,1,9,5,0,0,1,0,16.2,0.3,-0.92,7,1,9500,1,3,140.0,140.0,2,7,8,6,14.35,0
1,1,0,35,1,0,3,1,3,3,0,0,1,0,12.4,0.5,1.79,43,1,9853,1,1,140.0,128.3,19,21,21,21,12.61904761904762,0
1,1,0,27,0,0,19,19,3,4,0,1,0,0,11.1,0.6,2.02,39,1,9773,1,19,133.1,104.0,0,6,6,5,12.0,0
1,1,0,19,1,0,1,37,5,5,0,0,0,0,15.5,2.8,-4.06,18,3,9070,1,1,131.0,122.3,0,6,6,6,12.166666666666666,0
1,1,0,20,0,0,1,19,4,6,0,0,1,0,11.1,0.6,2.02,17,2,9254,1,1,143.0,135.0,0,6,0,0,0.0,0
1,1,0,20,1,0,3,3,5,7,0,1,0,0,10.8,1.4,1.74,18,2,9147,1,1,132.0,119.1,0,5,9,3,10.0,0
1,1,0,18,1,0,38,1,9,4,0,0,1,1,7.6,2.6,0.32,17,3,9500,1,1,141.0,129.0,0,7,7,6,13.05,0
1,1,0,24,1,0,1,19,9,9,0,0,1,0,8.9,1.4,3.51,39,1,9085,1,1,133.1,162.3,0,6,10,2,11.0,0
1,1,0,20,1,0,1,3,4,1,0,0,1,0,16.2,0.3,-0.92,17,4,9070,1,1,148.0,163.4,0,6,7,6,11.5,0
1,1,0,21,0,0,19,38,9,8,0,0,1,1,13.9,-0.3,0.79,1,1,9254,1,1,125.0,121.5,0,6,7,6,12.0,0
1,1,0,24,1,0,12,3,4,3,0,0,1,0,7.6,2.6,0.32,39,1,9147,1,1,140.0,118.0,0,5,5,0,0.0,0
1,1,0,21,0,0,1,1,4,10,0,0,1,0,12.4,0.5,1.79,51,1,9853,1,1,139.0,134.0,0,6,0,0,0.0,0
1,1,0,18,1,0,38,38,9,8,0,0,1,0,12.7,3.7,-1.7,1,4,9500,1,1,142.0,129.8,0,8,8,7,12.242857142857144,0
1,1,0,27,1,0,19,1,3,4,0,0,1,0,8.9,1.4,3.51,39,1,9991,0,40,130.0,152.0,0,5,0,0,0.0,0
1,1,0,18,1,0,37,37,5,5,0,0,1,0,9.4,-0.8,-3.12,18,6,9500,1,1,126.0,122.8,0,8,8,8,12.93375,0
1,1,0,35,0,0,3,2,2,2,0,0,1,0,13.9,-0.3,0.79,7,1,9119,1,3,150.0,150.0,0,5,0,0,0.0,0
1,1,0,18,0,0,19,19,3,8,0,0,1,0,11.1,0.6,2.02,1,1,9853,1,1,130.0,131.8,0,7,9,7,12.571428571428571,0
1,1,0,19,1,0,1,1,4,7,0,0,1,0,10.8,1.4,1.74,1,1,9085,1,1,138.0,132.1,0,5,9,4,13.75,0
1,1,0,20,1,0,19,19,4,0,0,0,1,0,7.6,2.6,0.32,1,4,9238,1,1,127.0,127.4,0,6,8,6,11.166666666666666,0
1,1,0,18,1,0,19,19,7,7,0,0,1,0,10.8,1.4,1.74,1,4,9500,1,1,140.0,129.5,0,8,8,7,12.324285714285711,0
1,1,0,21,0,0,38,38,5,10,0,1,1,0,13.9,-0.3,0.79,44,1,9238,1,39,130.0,126.7,3,6,6,6,12.166666666666666,0
1,1,0,18,0,0,19,37,9,8,0,0,1,1,16.2,0.3,-0.92,17,2,9238,1,1,128.0,116.5,0,6,11,5,11.142857142857142,0
1,1,0,18,1,0,34,34,0,0,0,0,1,0,7.6,2.6,0.32,1,1,9238,1,1,132.0,119.1,0,6,9,4,11.0,0
1,1,0,18,1,0,19,38,9,9,0,0,1,0,12.7,3.7,-1.7,1,2,9500,1,1,149.0,126.5,0,8,8,7,12.914285714285713,0
1,1,0,18,1,0,3,19,1,4,0,0,1,1,16.2,0.3,-0.92,1,4,9773,1,1,155.0,149.8,0,6,6,6,13.833333333333334,0
1,1,0,19,1,0,19,1,8,7,0,0,1,0,13.9,-0.3,0.79,1,1,9085,1,1,120.0,115.1,0,6,8,6,13.857142857142858,0
1,1,0,36,0,0,3,19,2,3,0,0,1,1,16.2,0.3,-0.92,39,1,9254,1,19,133.1,124.5,0,6,7,6,13.714285714285714,0
1,1,0,18,1,0,38,1,7,4,0,0,1,1,12.7,3.7,-1.7,1,2,9500,1,1,131.0,128.3,0,8,8,7,12.642857142857142,0
1,1,0,18,0,0,37,37,9,9,0,0,1,1,7.6,2.6,0.32,1,1,9500,1,1,149.0,136.0,0,7,7,6,12.916666666666666,0
1,1,0,20,1,0,1,3,9,2,0,0,1,1,13.9,-0.3,0.79,43,1,9130,1,1,140.0,140.0,0,6,8,6,15.625,0
1,1,0,26,0,0,37,37,9,9,0,0,1,1,16.2,0.3,-0.92,39,1,9991,0,1,133.1,126.3,0,5,7,0,0.0,0
1,1,0,21,0,0,1,1,4,5,0,0,1,0,7.6,2.6,0.32,43,1,9773,1,1,122.0,126.9,0,6,8,6,11.714285714285714,0
1,1,0,19,1,0,19,3,5,5,0,0,1,1,12.4,0.5,1.79,18,1,9147,1,1,121.0,115.8,0,5,7,5,11.6,0
1,1,0,24,1,0,19,37,8,7,0,0,1,0,9.4,-0.8,-3.12,39,1,8014,0,1,120.0,100.0,0,6,11,1,10.0,0
1,1,0,27,0,0,1,19,5,4,0,0,1,1,8.9,1.4,3.51,39,1,8014,0,1,133.1,102.5,0,6,16,1,10.0,0
