Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Dropout_Probability,Risk_Category,Course_Name
1,17,1,9670,1,1,138.0,1,1,1,4,8,123.0,0,0,1,0,1,0,20,0,0,6,7,5,12.4,0,0,6,8,4,13.0,0,13.9,-0.3,0.79,Enrolled,0.9931625,High Risk,Advertising & Marketing
1,43,2,9119,1,1,115.0,1,38,19,9,6,112.2,1,0,1,1,1,0,18,0,0,5,9,2,10.0,0,0,5,9,0,0.0,0,15.5,2.8,-4.06,Enrolled,0.9929963,High Risk,Informatics Engineering
1,17,1,9130,1,1,143.0,1,3,3,2,2,131.8,1,0,1,0,0,0,18,0,0,6,9,5,12.4,0,0,6,12,5,14.166666666666666,0,8.9,1.4,3.51,Enrolled,0.9927295,High Risk,Equinculture
1,43,1,9070,1,1,116.0,1,1,1,3,3,120.9,0,0,0,1,1,0,24,0,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Enrolled,0.9925249,High Risk,Communication Design
1,17,4,9773,1,1,129.0,1,3,1,2,7,132.5,1,0,0,1,1,0,21,0,0,6,7,0,0.0,0,0,6,11,1,10.0,0,10.8,1.4,1.74,Enrolled,0.9925074,High Risk,Journalism
1,44,1,9085,1,39,140.0,1,1,3,9,4,140.0,0,0,1,0,0,0,24,0,2,6,11,4,12.5,0,1,6,18,2,11.5,0,12.4,0.5,1.79,Enrolled,0.9919803,High Risk,Veterinary Nursing
1,43,1,9147,1,1,130.0,1,37,19,9,8,130.8,0,0,0,1,1,0,22,0,0,5,5,0,0.0,0,0,5,9,3,13.333333333333334,2,16.2,0.3,-0.92,Enrolled,0.9917745,High Risk,Management
2,39,1,9991,0,1,140.0,1,37,37,9,10,130.0,0,0,0,1,0,0,34,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,9.4,-0.8,-3.12,Enrolled,0.9916911,High Risk,Management (Evening)
1,17,4,9500,1,1,138.0,1,4,1,2,1,133.0,1,0,0,1,0,0,18,0,0,8,8,0,0.0,5,0,8,8,0,0.0,5,9.4,-0.8,-3.12,Enrolled,0.9915616,High Risk,Nursing
4,39,1,9991,0,1,130.0,1,37,37,9,9,127.6,0,0,0,1,1,0,29,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Enrolled,0.99133575,High Risk,Management (Evening)
1,1,2,9119,1,1,140.0,1,19,19,9,9,125.7,1,0,0,1,1,0,18,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,9.4,-0.8,-3.12,Enrolled,0.99126244,High Risk,Informatics Engineering
2,39,1,9991,0,1,120.0,1,37,37,9,9,119.9,0,0,0,1,0,0,50,0,0,5,9,2,10.5,0,0,5,7,3,11.0,0,12.7,3.7,-1.7,Enrolled,0.9911964,High Risk,Management (Evening)
1,15,1,9556,1,1,137.0,26,19,1,9,4,137.0,0,0,1,1,0,0,19,1,0,7,11,0,0.0,4,0,7,11,2,11.666666666666666,0,8.9,1.4,3.51,Enrolled,0.99081963,High Risk,Oral Hygiene
1,17,5,9070,1,1,125.0,1,19,1,5,5,122.6,1,0,0,1,1,0,22,0,0,6,6,1,11.0,0,0,6,6,0,0.0,0,9.4,-0.8,-3.12,Enrolled,0.9906205,High Risk,Communication Design
2,39,1,9500,1,1,100.0,1,37,38,4,4,130.0,0,0,0,1,1,1,33,0,0,8,16,1,10.0,1,0,8,16,1,10.0,1,12.7,3.7,-1.7,Enrolled,0.99037474,High Risk,Nursing
1,39,1,9119,1,19,133.1,1,1,19,4,5,100.0,0,0,0,1,1,0,25,0,0,5,13,1,11.0,0,0,5,11,1,10.0,0,13.9,-0.3,0.79,Enrolled,0.9899338,High Risk,Informatics Engineering
1,43,1,9147,1,1,127.0,25,1,5,9,10,124.2,1,0,0,1,1,0,23,1,0,5,6,1,10.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Enrolled,0.9898722,High Risk,Management
1,44,1,9119,1,39,150.0,1,19,3,5,2,150.0,0,0,0,1,1,0,20,0,0,5,16,0,0.0,0,0,5,12,2,10.5,0,12.7,3.7,-1.7,Enrolled,0.98978615,High Risk,Informatics Engineering
1,43,1,9773,1,1,127.0,1,19,1,5,5,117.6,1,0,0,1,0,0,18,0,0,6,6,0,0.0,0,0,6,10,3,11.0,0,16.2,0.3,-0.92,Enrolled,0.98967326,High Risk,Journalism
4,39,1,9991,0,1,120.0,1,37,37,9,9,110.0,0,0,0,1,0,0,37,0,0,5,14,2,10.0,0,0,5,7,3,11.333333333333334,0,12.7,3.7,-1.7,Enrolled,0.98961323,High Risk,Management (Evening)
1,43,1,9147,1,1,131.0,1,3,19,2,9,126.1,0,0,0,1,0,0,18,0,0,5,5,0,0.0,0,0,5,9,4,13.25,2,16.2,0.3,-0.92,Enrolled,0.9885069,High Risk,Management
1,39,1,9991,0,12,133.1,1,37,37,9,9,121.5,0,0,0,1,1,0,38,0,0,5,11,2,10.5,0,0,5,9,3,11.333333333333334,1,7.6,2.6,0.32,Enrolled,0.98788387,High Risk,Management (Evening)
1,44,1,9003,1,39,120.0,1,38,19,3,5,120.0,0,0,0,1,1,0,23,0,0,6,6,0,0.0,0,0,6,8,0,0.0,0,15.5,2.8,-4.06,Enrolled,0.98751837,High Risk,Agronomy
1,44,1,9119,1,39,140.0,1,1,19,4,5,140.0,1,0,0,1,1,0,22,0,0,5,9,0,0.0,0,0,5,6,2,11.666666666666666,0,10.8,1.4,1.74,Enrolled,0.987398,High Risk,Informatics Engineering
1,15,1,9556,1,1,114.0,26,3,19,122,144,114.0,0,0,0,1,0,0,20,1,0,7,14,0,0.0,6,0,7,12,2,11.666666666666666,0,8.9,1.4,3.51,Enrolled,0.98736304,High Risk,Oral Hygiene
4,39,1,9003,1,1,133.1,1,19,19,9,4,100.7,0,0,0,1,0,0,39,0,0,6,15,2,13.0,2,0,6,13,3,13.0,1,15.5,2.8,-4.06,Enrolled,0.98731625,High Risk,Agronomy
1,17,2,9147,1,1,130.0,1,1,38,5,7,122.0,1,0,0,1,1,0,20,0,0,5,8,2,10.5,0,0,5,11,4,12.25,0,10.8,1.4,1.74,Enrolled,0.9872596,High Risk,Management
1,1,6,9119,1,1,135.0,1,2,1,3,5,123.5,1,0,0,1,1,0,18,0,0,5,10,0,0.0,0,0,5,10,1,10.0,3,7.6,2.6,0.32,Enrolled,0.9857226,High Risk,Informatics Engineering
1,44,1,9003,1,1,120.0,1,1,3,144,123,120.0,0,0,0,1,1,0,19,0,0,6,17,1,11.0,0,0,6,19,0,0.0,0,16.2,0.3,-0.92,Enrolled,0.985564,High Risk,Agronomy
1,44,1,9003,1,39,130.0,1,5,3,2,2,130.0,0,0,0,1,1,0,20,0,1,7,13,3,10.666666666666666,0,0,6,14,2,11.5,0,15.5,2.8,-4.06,Enrolled,0.98534715,High Risk,Agronomy
1,39,1,9003,1,1,160.0,1,1,37,191,193,140.0,0,0,0,1,1,0,27,0,0,6,6,0,0.0,0,0,6,6,0,0.0,0,11.1,0.6,2.02,Enrolled,0.9850804,High Risk,Agronomy
1,1,1,171,1,1,130.0,1,1,38,5,9,118.1,0,0,1,0,1,0,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Enrolled,0.9847744,High Risk,Animation & Multimedia
1,39,1,9147,1,1,133.1,41,38,38,9,8,134.8,0,0,0,1,0,0,24,1,0,5,12,2,10.5,0,0,5,9,4,10.0,2,16.2,0.3,-0.92,Enrolled,0.984743,High Risk,Management
2,39,1,9238,1,19,133.1,1,37,37,9,9,130.0,1,0,0,1,0,0,31,0,0,6,11,0,0.0,0,0,5,10,0,0.0,0,9.4,-0.8,-3.12,Enrolled,0.98410827,High Risk,Social Service
1,43,1,9085,1,1,130.0,1,19,38,4,9,130.0,1,0,0,0,0,0,19,0,0,6,12,5,13.0,0,0,6,12,3,11.666666666666666,0,13.9,-0.3,0.79,Enrolled,0.9838051,High Risk,Veterinary Nursing
1,17,1,9147,1,1,118.0,1,1,38,9,9,118.4,1,0,0,1,1,0,19,0,0,5,10,2,10.5,0,0,5,5,4,11.75,0,12.4,0.5,1.79,Enrolled,0.9836008,High Risk,Management
1,39,1,9119,1,19,133.1,1,19,19,5,3,100.9,1,0,0,1,1,0,24,0,0,5,9,1,12.0,0,0,5,6,3,10.5,0,10.8,1.4,1.74,Enrolled,0.9834804,High Risk,Informatics Engineering
1,44,1,9003,1,39,140.0,1,38,1,134,134,140.0,1,0,1,1,1,0,26,0,0,6,6,0,0.0,0,0,6,7,0,0.0,0,8.9,1.4,3.51,Enrolled,0.9833807,High Risk,Agronomy
1,1,1,9147,1,1,126.0,1,19,19,9,9,115.2,0,0,1,1,0,0,19,0,0,5,13,1,10.0,0,0,5,8,2,10.0,0,12.4,0.5,1.79,Enrolled,0.98251706,High Risk,Management
1,53,1,9085,1,42,130.0,1,19,1,9,9,130.0,1,0,1,0,0,0,24,0,7,9,9,8,13.125,0,4,9,13,6,13.0,0,8.9,1.4,3.51,Enrolled,0.98238385,High Risk,Veterinary Nursing
1,43,4,9670,1,1,117.0,1,3,3,4,4,113.2,0,0,0,1,1,0,21,0,0,5,11,2,10.0,0,0,5,10,3,10.333333333333334,0,9.4,-0.8,-3.12,Enrolled,0.9819344,High Risk,Advertising & Marketing
1,44,1,9130,1,39,140.0,1,19,19,5,5,140.0,1,0,1,0,0,0,20,0,1,6,11,3,12.0,0,0,6,11,2,11.0,0,12.4,0.5,1.79,Enrolled,0.98183006,High Risk,Equinculture
1,17,1,9254,1,1,136.0,1,37,37,7,7,121.7,1,0,0,1,0,0,20,0,0,6,13,3,10.333333333333334,0,0,6,12,3,10.333333333333334,0,10.8,1.4,1.74,Enrolled,0.98128843,High Risk,Tourism
1,53,1,9670,1,42,140.0,1,19,37,3,6,140.0,1,0,1,1,0,0,21,0,0,6,12,1,12.0,0,0,6,11,1,11.0,0,8.9,1.4,3.51,Enrolled,0.98106295,High Risk,Advertising & Marketing
1,1,1,9070,1,1,124.0,1,19,19,7,9,132.1,1,0,0,1,0,0,19,0,0,6,10,2,10.5,0,0,6,6,3,11.0,0,7.6,2.6,0.32,Enrolled,0.98096806,High Risk,Communication Design
1,17,1,9147,1,1,148.0,1,38,37,5,5,134.0,0,0,0,1,1,0,18,0,0,5,9,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Enrolled,0.9796892,High Risk,Management
1,51,1,9147,1,1,116.0,1,3,3,2,2,115.2,0,0,1,1,1,0,32,0,2,7,16,3,12.0,0,3,8,10,3,10.333333333333334,0,8.9,1.4,3.51,Enrolled,0.9792677,High Risk,Management
1,1,1,8014,0,1,120.0,1,1,37,7,3,122.8,0,0,0,1,0,0,23,0,0,6,13,2,10.0,0,0,5,12,1,10.0,0,9.4,-0.8,-3.12,Enrolled,0.9790506,High Risk,Social Service (Evening)
1,17,1,9147,1,1,115.0,1,19,19,7,7,115.0,1,0,0,1,0,0,23,0,0,5,7,2,10.0,1,0,5,9,1,12.0,0,9.4,-0.8,-3.12,Enrolled,0.9790189,High Risk,Management
1,17,1,9147,1,1,139.0,1,1,38,6,6,143.6,1,0,1,1,1,0,18,0,0,5,9,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Enrolled,0.9786269,High Risk,Management
1,44,1,9119,1,39,130.0,1,3,19,3,4,130.0,0,0,0,1,1,0,20,0,0,5,12,1,13.0,0,0,5,8,3,12.6,0,12.4,0.5,1.79,Enrolled,0.9785826,High Risk,Informatics Engineering
1,39,1,9085,1,1,140.0,1,37,19,191,163,129.3,1,0,1,1,0,0,28,0,0,6,17,0,0.0,0,0,6,6,0,0.0,0,8.9,1.4,3.51,Enrolled,0.9780496,High Risk,Veterinary Nursing
1,15,1,9119,1,1,160.0,32,1,3,143,152,160.0,0,0,1,1,0,0,19,1,0,6,11,2,13.5,1,0,5,11,2,11.0,0,8.9,1.4,3.51,Enrolled,0.9778146,High Risk,Informatics Engineering
1,1,3,9500,1,1,136.0,1,1,1,4,4,127.0,1,0,0,1,0,0,19,0,0,8,10,1,13.67,7,0,8,10,1,13.67,7,9.4,-0.8,-3.12,Enrolled,0.97779536,High Risk,Nursing
1,15,1,9500,1,1,190.0,108,3,2,122,4,190.0,1,0,0,1,0,0,18,1,0,7,15,4,11.575,0,0,7,10,5,12.419999999999998,0,12.4,0.5,1.79,Enrolled,0.97759444,High Risk,Nursing
1,17,1,9670,1,1,109.0,1,1,1,4,4,108.0,0,0,0,1,1,0,19,0,0,5,10,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Enrolled,0.97714144,High Risk,Advertising & Marketing
2,39,1,9991,0,1,120.0,1,37,37,9,10,170.0,0,0,0,1,0,0,34,0,0,5,12,2,11.5,0,0,5,9,4,11.75,0,9.4,-0.8,-3.12,Enrolled,0.976503,High Risk,Management (Evening)
1,1,1,9853,1,1,160.0,1,1,37,9,9,146.0,1,0,0,1,0,0,19,0,0,6,11,3,10.333333333333334,0,0,6,10,5,11.8,0,9.4,-0.8,-3.12,Enrolled,0.9763115,High Risk,Basic Education
1,44,1,9119,1,39,130.0,1,38,19,9,5,130.0,1,0,0,1,1,0,19,0,0,5,9,2,12.5,0,0,5,10,3,11.6,0,12.4,0.5,1.79,Enrolled,0.97616506,High Risk,Informatics Engineering
1,44,1,9085,1,39,130.0,1,2,2,6,6,130.0,0,0,0,0,1,0,20,0,2,6,10,5,13.2,0,1,6,21,3,12.0,0,12.4,0.5,1.79,Enrolled,0.9756257,High Risk,Veterinary Nursing
1,1,2,9853,1,1,121.0,1,38,38,7,5,120.0,1,0,0,1,0,0,18,0,0,6,10,3,12.0,0,0,6,8,4,10.25,0,10.8,1.4,1.74,Enrolled,0.97517496,High Risk,Basic Education
1,17,6,9147,1,1,120.0,1,37,38,9,9,115.5,1,0,1,0,1,0,19,0,0,5,8,4,12.5,0,0,5,9,5,10.5,0,8.9,1.4,3.51,Enrolled,0.97442055,High Risk,Management
1,17,2,9238,1,1,118.0,1,1,19,4,10,110.7,1,1,0,1,0,0,18,0,0,6,15,2,10.333333333333334,3,0,6,13,3,13.333333333333334,0,12.7,3.7,-1.7,Enrolled,0.9741168,High Risk,Social Service
1,1,4,9147,1,1,133.1,1,1,19,4,6,106.0,1,0,0,1,0,0,24,0,0,5,11,2,10.5,0,0,5,14,1,11.0,0,12.7,3.7,-1.7,Enrolled,0.97396165,High Risk,Management
1,1,1,9991,0,1,131.0,1,19,37,9,9,118.4,1,0,0,1,0,0,20,0,0,5,10,0,0.0,0,0,5,10,0,0.0,3,7.6,2.6,0.32,Enrolled,0.97388226,High Risk,Management (Evening)
1,17,1,9119,1,1,142.0,1,19,38,9,7,127.3,0,0,0,1,1,0,18,0,0,5,10,3,11.0,0,0,5,6,3,11.0,1,16.2,0.3,-0.92,Enrolled,0.97362715,High Risk,Informatics Engineering
1,43,1,9773,1,1,119.0,1,19,37,5,5,105.0,1,0,0,1,0,0,23,0,0,6,11,3,11.333333333333334,0,0,6,7,2,11.0,0,16.2,0.3,-0.92,Enrolled,0.9724273,High Risk,Journalism
1,1,1,9773,1,1,127.0,1,37,37,9,8,123.2,1,0,0,1,0,0,18,0,0,6,12,1,11.0,0,0,6,12,0,0.0,0,9.4,-0.8,-3.12,Enrolled,0.9723412,High Risk,Journalism
1,17,1,9147,1,1,139.0,1,38,38,7,5,133.4,0,0,0,1,0,0,18,0,0,5,9,1,11.0,1,0,5,10,0,0.0,0,9.4,-0.8,-3.12,Enrolled,0.9717772,High Risk,Management
1,15,1,9147,1,1,133.1,21,1,3,192,3,100.0,0,0,1,1,1,0,40,1,0,5,10,1,11.0,0,0,5,10,1,10.0,0,11.1,0.6,2.02,Enrolled,0.97155184,High Risk,Management
1,17,1,9670,1,1,115.0,1,19,19,191,171,109.1,0,0,1,0,1,0,21,0,0,6,11,4,12.25,0,0,6,9,4,13.4,0,11.1,0.6,2.02,Enrolled,0.97099125,High Risk,Advertising & Marketing
1,1,1,9070,1,1,125.0,1,1,1,4,4,132.0,0,0,0,0,0,0,18,0,1,6,10,5,12.2,1,0,6,11,4,10.833333333333334,0,13.9,-0.3,0.79,Enrolled,0.97025675,High Risk,Communication Design
1,18,1,9500,1,1,128.0,1,19,1,9,4,125.8,0,0,0,1,0,1,20,0,0,8,8,0,0.0,8,0,8,8,0,0.0,8,9.4,-0.8,-3.12,Enrolled,0.96936923,High Risk,Nursing
1,43,1,9773,1,1,128.0,1,19,38,9,7,124.2,1,0,0,1,1,0,22,0,0,6,17,3,11.333333333333334,3,0,6,14,3,12.333333333333334,0,15.5,2.8,-4.06,Enrolled,0.9690629,High Risk,Journalism
1,44,1,9119,1,39,140.0,1,5,41,3,2,140.0,0,0,0,1,1,0,23,0,3,7,12,3,14.0,0,1,6,12,1,14.0,0,12.4,0.5,1.79,Enrolled,0.96889067,High Risk,Informatics Engineering
1,39,1,9003,1,1,133.1,1,37,37,3,8,130.0,0,0,1,1,0,1,30,0,0,6,6,0,0.0,0,0,6,6,0,0.0,0,11.1,0.6,2.02,Enrolled,0.9688336,High Risk,Agronomy
1,43,1,9773,1,1,121.0,1,1,1,4,5,121.0,1,0,0,1,1,0,23,0,0,6,15,1,13.0,0,0,6,8,4,11.25,0,9.4,-0.8,-3.12,Enrolled,0.9685857,High Risk,Journalism
1,1,1,9254,1,1,154.0,1,3,1,2,1,137.2,0,0,0,1,1,0,20,0,0,6,12,3,10.0,0,0,6,9,5,10.8,0,15.5,2.8,-4.06,Enrolled,0.9682782,High Risk,Tourism
1,1,1,9500,1,1,103.0,1,1,19,9,9,108.3,0,0,0,1,0,1,20,0,0,7,14,0,0.0,0,0,7,15,0,0.0,0,11.1,0.6,2.02,Enrolled,0.9673263,High Risk,Nursing
2,39,2,9556,1,1,110.0,1,19,38,9,9,112.8,0,0,0,1,0,1,26,0,0,7,7,0,0.0,0,0,8,8,0,0.0,6,10.8,1.4,1.74,Enrolled,0.96721405,High Risk,Oral Hygiene
1,1,1,9119,1,1,160.0,1,37,37,9,6,153.7,0,0,0,1,1,0,19,0,0,5,7,1,13.0,0,0,5,7,2,10.0,0,9.4,-0.8,-3.12,Enrolled,0.9671682,High Risk,Informatics Engineering
1,1,1,9119,1,1,128.0,1,38,38,9,7,124.5,1,0,0,1,1,0,19,0,0,5,10,3,10.666666666666666,0,0,5,9,2,14.0,2,7.6,2.6,0.32,Enrolled,0.9670155,High Risk,Informatics Engineering
1,44,1,9254,1,39,130.0,1,39,39,194,193,130.0,1,0,1,1,1,0,23,0,0,6,12,3,11.5,0,0,6,12,3,10.666666666666666,0,8.9,1.4,3.51,Enrolled,0.96627295,High Risk,Tourism
1,17,1,9853,1,1,138.0,1,38,38,7,6,124.7,1,0,0,1,0,0,18,0,0,6,11,3,12.333333333333334,0,0,6,10,5,10.833333333333334,0,9.4,-0.8,-3.12,Enrolled,0.9662289,High Risk,Basic Education
1,39,1,8014,0,1,140.0,1,19,1,9,8,105.0,0,0,0,1,0,0,26,0,0,6,14,3,10.666666666666666,1,0,6,9,5,11.2,0,15.5,2.8,-4.06,Enrolled,0.9658273,High Risk,Social Service (Evening)
1,39,1,9500,1,1,133.1,1,19,19,5,6,121.4,0,0,1,1,0,0,28,0,0,7,12,4,13.375,0,0,7,7,5,13.5,0,13.9,-0.3,0.79,Enrolled,0.96493185,High Risk,Nursing
1,18,4,9119,1,1,134.0,1,19,38,194,175,124.9,1,0,1,1,1,0,18,0,0,5,11,3,10.666666666666666,0,0,5,9,3,11.333333333333334,0,8.9,1.4,3.51,Enrolled,0.96483463,High Risk,Informatics Engineering
1,43,3,9254,1,1,135.0,1,3,3,2,2,122.1,0,0,0,1,1,0,19,0,0,6,14,3,12.5,0,0,6,9,4,11.0,0,12.7,3.7,-1.7,Enrolled,0.96462214,High Risk,Tourism
1,17,2,9147,1,1,118.0,1,19,1,9,3,113.5,1,0,1,1,0,0,20,0,0,5,10,2,11.5,0,0,5,8,3,10.0,0,11.1,0.6,2.02,Enrolled,0.96439636,High Risk,Management
1,1,1,9853,1,1,133.1,1,19,37,9,9,95.0,1,0,1,0,0,0,22,0,0,7,10,6,11.5,0,0,7,8,6,13.166666666666666,0,11.1,0.6,2.02,Enrolled,0.9641694,High Risk,Basic Education
1,17,2,9853,1,1,150.0,1,37,37,5,6,132.5,1,0,0,1,0,0,22,0,0,6,9,4,12.25,0,0,6,8,5,11.6,0,10.8,1.4,1.74,Enrolled,0.96405435,High Risk,Basic Education
1,43,1,9500,1,1,136.0,1,19,37,173,183,118.4,1,0,0,1,0,0,21,0,0,7,12,4,13.125,0,0,7,8,6,12.333333333333334,0,13.9,-0.3,0.79,Enrolled,0.9627893,High Risk,Nursing
1,18,1,9254,1,1,118.0,1,38,38,5,5,123.3,1,0,0,1,1,0,26,0,0,6,10,4,10.0,0,0,6,11,3,12.0,0,9.4,-0.8,-3.12,Enrolled,0.9626996,High Risk,Tourism
4,39,1,9991,0,1,133.1,1,37,37,9,9,130.4,0,0,0,1,0,0,30,0,0,5,10,3,10.666666666666666,0,0,5,8,5,10.4,0,12.7,3.7,-1.7,Enrolled,0.961791,High Risk,Management (Evening)
1,17,1,9085,1,1,120.0,1,19,38,4,8,122.5,0,0,0,0,1,0,19,0,0,6,11,5,13.6,0,0,6,11,5,13.666666666666666,0,11.1,0.6,2.02,Enrolled,0.96152693,High Risk,Veterinary Nursing
1,1,5,9147,1,1,125.0,1,37,38,7,7,122.2,1,0,0,1,0,0,18,0,0,5,9,1,11.0,0,0,5,9,2,12.5,0,7.6,2.6,0.32,Enrolled,0.96149695,High Risk,Management
1,1,2,9119,1,1,149.0,1,38,38,5,5,141.0,0,0,0,1,1,0,18,0,0,5,9,2,11.666666666666666,0,0,5,9,2,12.5,2,7.6,2.6,0.32,Enrolled,0.96117413,High Risk,Informatics Engineering
1,1,1,9147,1,1,143.0,1,1,1,4,6,138.8,0,0,0,0,1,0,18,0,0,5,9,3,11.333333333333334,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Enrolled,0.9602883,High Risk,Management
1,17,5,9119,1,1,138.0,1,19,19,5,5,123.3,1,0,1,1,1,0,18,0,0,5,9,4,12.5,0,0,5,11,5,11.285714285714286,0,12.4,0.5,1.79,Enrolled,0.9596452,High Risk,Informatics Engineering
1,1,3,9147,1,1,124.0,1,1,1,5,3,116.7,1,0,0,1,1,0,19,0,0,5,6,0,0.0,0,0,5,6,0,0.0,0,7.6,2.6,0.32,Enrolled,0.9585439,High Risk,Management
1,1,1,9130,1,1,138.0,1,4,5,2,2,123.0,1,0,0,1,0,0,21,0,0,5,12,1,11.0,0,0,5,9,2,10.5,0,12.7,3.7,-1.7,Enrolled,0.95839643,High Risk,Equinculture
4,7,1,9500,1,40,130.0,1,37,37,3,3,130.0,1,0,0,1,0,0,32,0,0,7,16,4,13.625,0,0,7,8,7,12.6375,0,12.4,0.5,1.79,Enrolled,0.95780265,High Risk,Nursing
1,17,1,9147,1,1,162.0,1,1,38,4,5,138.6,1,0,0,1,0,0,19,0,0,5,10,1,11.0,0,0,5,13,0,0.0,0,12.7,3.7,-1.7,Enrolled,0.9565999,High Risk,Management
1,17,1,9853,1,1,127.0,1,38,37,5,7,121.8,1,0,1,1,0,0,18,0,0,6,12,4,13.5,0,0,6,14,3,10.666666666666666,0,10.8,1.4,1.74,Enrolled,0.95570564,High Risk,Basic Education
1,17,2,9238,1,1,133.0,1,2,1,3,4,136.2,1,0,0,1,0,0,19,0,0,6,14,1,11.5,0,0,6,12,2,10.5,0,7.6,2.6,0.32,Enrolled,0.95482063,High Risk,Social Service
1,18,1,9238,1,1,137.0,1,19,38,5,8,137.4,1,0,0,1,0,0,18,0,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,Enrolled,0.9547377,High Risk,Social Service
3,39,1,9003,1,1,170.0,1,1,37,6,6,170.0,0,0,1,1,0,0,47,0,0,1,1,0,0.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,Enrolled,0.95401305,High Risk,Agronomy
